;Регион;Общая площадь;id;Название;Цена за кв.м;Цена;Адрес;Окончания подачи заявок;Кадастровый номер;Cтоимость чел/кв.м;Форма проведения;Имущество;Координаты;Жителей в округе;Коммерческих объектов;Описание коммерческих объектов;Жителей h3;H3 чел/кв.м 
0;12; 388,8 м2;21000001330000000001_1;Блок бытовых помещений, назначение: нежилое., этаж 2, номера по поэтажному плану №7-20, №II расположенный по адресу: , помещения с №7 по №20 по плану БТИ 2 этажа; 2 299 ; 894 000 ;Респ Марий Эл, пгт Новый Торъял, ул Юбилейная, д 4;14 09 22 14:00;;  1,86  ;EA;М;57.004803, 48.74018;1236;24;57.004803_48.74018.json;2634;  0,87  
1;12; 428,2 м2;21000025550000000057_8;Помещение нежилое .расположенное по адресу: , принадлежащее ООО ТД «Герметик». Помещение с бременем залога в пользу ПАО «Сбербанк» (остаток задолженности на 31.05.2022 г. состав; 11 669 ;4 996 667 ;г Йошкар-Ола, ул Баумана, д 100;09 09 22 14:00;12:05:0302016:1309, ;  19,71  ;EA;Д;56.629086, 47.857883;592;3;56.629086_47.857883.json;4743;  2,46  
2;91; 137,3 м2;22000138010000000001_2;В соответствии с пунктом 1 и Приложением № 3 к информационного сообщения; 5 157 ; 708 000 ;Респ Крым, Кировский р-н, село Шубино, ул Ленина, д 62а;12 09 22 06:00;-;  10,35  ;EA;М;45.27548, 35.208372;498;0;45.27548_35.208372.json;0;
3;91; 451,7 м2;22000138010000000001_1;В соответствии с пункто; 3 181 ;1 437 000 ;Респ Крым, Кировский р-н, село Золотое Поле, ул Тагакова;12 09 22 06:00;-;  530,22  ;EA;М;45.132045, 34.997914;6;0;45.132045_34.997914.json;0;
4;50; 19,3 м2;21000004710000002481_1;Продажа нежилого помещения 19,3 кв.м. в г.о. Химки; 42 742 ; 824 917 ;Московская обл, г Химки, ул Союзная, стр 4, помещ 152;12 09 22 15:00;50:10:0000000:9893;  17,94  ;EA;М;55.896731, 37.444665;2382;55;55.896731_37.444665.json;2806;  15,23  
5;77; 60,4 м2;21000005000000002588_1;Продажа нежилых помещений, находящихся в хозяйственном ведении Государственного унитарного предприятия города Москвы «Центр управления городским имуществом» (ГУП «ЦУГИ»), расположенных по адресу:  , площадь 60,40; 61 689 ;3 726 000 ;г Москва, Ленинградское шоссе, д 8 к 3, помещ 4П;30 08 22 12:00;77:09:0003013:2544;  10,83  ;EA;М;55.817997, 37.50125;5694;182;55.817997_37.50125.json;10445;  5,91  
6;50; 19,9 м2;21000004710000002479_1;Продажа нежилого помещения 19,9 кв.м. в  г.о. Химки; 41 453 ; 824 917 ;Московская обл, г Химки, ул Союзная, д 4;12 09 22 15:00;50:10:0000000:9894;  18,40  ;EA;М;55.895358, 37.436319;2253;50;55.895358_37.436319.json;2691;  15,40  
7;50; 20,1 м2;21000004710000002480_1;Продажа нежилого помещения 20,1 кв.м. в г.о. Долгопрудный; 132 755 ;2 668 380 ;Московская обл, г Долгопрудный, ул Циолковского, д 32/12;12 09 22 15:00;50:42:0010218:531;  15,25  ;PP;М;55.93974, 37.51289;8704;160;55.93974_37.51289.json;2440;  54,41  
8;50; 283,7 м2;21000004710000002478_1;Продажа нежилого помещения 283,7 кв.м. в г.о. Долгопрудный; 28 133 ;7 981 330 ;Московская обл, г Долгопрудный, ул Дирижабельная, д 26;12 09 22 15:00;50:42:0000000:39346;  4,04  ;PP;М;55.945473, 37.50796;6966;76;55.945473_37.50796.json;2468;  11,40  
9;50; 228,3 м2;21000004710000002477_1;Продажа нежилого помещения 228,3 кв.м. в г.о. Долгопрудный; 29 097 ;6 642 850 ;Московская обл, г Долгопрудный, ул Дирижабельная, д 24;12 09 22 15:00;50:42:0000000:37694;  4,27  ;PP;М;55.94495, 37.508247;6822;73;55.94495_37.508247.json;2468;  11,79  
